id_art,fecha,año,mes,semana_epidemiologica,titulo,medio,url,terminos_match,n_palabras
1,2022-09-01 01:15:00,2022,9,35,"Jugo de naranja, no tan saludable: ¿Por qué tomar jugo de naranja no es tan saludable como creíamos? | Salud",caracol.com.co,https://caracol.com.co/radio/2022/09/01/salud/1661983704_668807.html,salud,20
2,2022-09-01 01:15:00,2022,9,35,Subirán casos y muertes por covid en el mundo por invierno: OMS,elnuevosiglo.com.co,https://www.elnuevosiglo.com.co/articulos/08-31-2022-subiran-casos-y-muertes-por-covid-en-el-mundo-por-invierno-oms,covid|muertes por,12
3,2022-09-01 01:45:00,2022,9,35,Madre vegana fue condenada a cadena perpetua tras muerte de su hijo por desnutrición,elcolombiano.com,https://www.elcolombiano.com/internacional/mujer-vegana-recibio-cadena-perpetua-en-estados-unidos-por-la-muerte-de-su-hijo-BJ18555422,desnutrición,14
4,2022-09-01 04:30:00,2022,9,35,En la clínica Medical Duarte se hizo el primer trasplante de células madre de la región,laopinion.com.co,https://www.laopinion.com.co/cucuta/en-la-clinica-medical-duarte-se-hizo-el-primer-trasplante-de-celulas-madre-de-la-region,clínica|trasplante,16
5,2022-09-01 12:30:00,2022,9,35,Este viernes abre sus puertas la clínica Keralty Ibagué,elnuevodia.com.co,http://www.elnuevodia.com.co/nuevodia/ibague/494162-este-viernes-abre-sus-puertas-la-clinica-keralty-ibague,clínica,9
6,2022-09-01 13:15:00,2022,9,35,En Norte se adelantará plan piloto con métodos de anticoncepción,laopinion.com.co,https://www.laopinion.com.co/region/en-norte-se-adelantara-plan-piloto-con-metodos-de-anticoncepcion,anticoncepción,10
7,2022-09-01 14:15:00,2022,9,35,"China confina a Chengdu, ciudad de 21 millones de habitantes por Covid-19",eltiempo.com,https://www.eltiempo.com/mundo/asia/china-confina-a-chengdu-ciudad-de-21-millones-de-habitantes-por-covid-19-699047,covid,12
8,2022-09-01 14:30:00,2022,9,35,Listas las 10 EPS que recibirán a los usuarios de la liquidada Comfamiliar,lanacion.com.co,https://www.lanacion.com.co/listas-las-10-eps-que-recibiran-a-los-afiliados-de-la-liquidada-comfamiliar/,EPS,13
9,2022-09-01 15:30:00,2022,9,35,Confinamientos China COVID-19: China confina 21 millones de personas por un rebrote de COVID-19 | Internacional,caracol.com.co,https://caracol.com.co/radio/2022/09/01/internacional/1662028373_030897.html,covid,16
10,2022-09-01 17:00:00,2022,9,35,Agreden a vigilantes de hospital por presunta discriminación a transexuales,pulzo.com,https://www.pulzo.com/nacion/agreden-vigilantes-hospital-presunta-discriminacion-transexuales-PP1822858A,hospital,10
11,2022-09-01 18:45:00,2022,9,35,Jessica Cediel le mandó mensaje a médico que le aplicó biopolímeros,pulzo.com,https://www.pulzo.com/entretenimiento/jessica-cediel-mando-mensaje-medico-que-aplico-biopolimeros-PP1825949,médico,11
12,2022-09-01 18:45:00,2022,9,35,Hemoparásitos en perros: síntomas y causas de esta afección en mascotas,pulzo.com,https://www.pulzo.com/vivir-bien/hemoparasitos-perros-sintomas-causas-esta-afeccion-mascotas-PP1825906A,síntomas,11
13,2022-09-01 19:15:00,2022,9,35,Alerta en China: confinó a ciudad de 21 millones de habitantes por un rebrote de covid,elcolombiano.com,https://www.elcolombiano.com/internacional/ciudad-de-china-esta-confinada-por-un-rebrote-de-covid-19-JK18560854,covid,16
14,2022-09-01 19:30:00,2022,9,35,Cirugías y dietas extremas: así transformaron su cuerpo algunos artistas vallenatos,elpilon.com.co,https://elpilon.com.co/cirugias-y-dietas-extremas-asi-transformaron-su-cuerpo-algunos-artistas-vallenatos/,cirugías,11
15,2022-09-01 20:00:00,2022,9,35,Qué es Naprotecnología: el novedoso método para quedar en embarazo,pulzo.com,https://www.pulzo.com/vivir-bien/que-es-naprotecnologia-novedoso-metodo-quedar-embarazo-PP1820250A,embarazo,10
